UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,169,72.9,72.6,0
62f3575ab51f8a773cde8ed1,67,19.8,20.7,0
62f3575ab51f8a773cde8ed1,193,66.5,66.4,0
62f3575ab51f8a773cde8ed1,134,49.1,46.4,0
62f3575ab51f8a773cde8ed1,131,49.5,39.2,0
62f3575ab51f8a773cde8ed1,199,68.0,68.5,0
62f3575ab51f8a773cde8ed1,52,1.3,5.0,0
62f3575ab51f8a773cde8ed1,169,67.3,61.1,0
62f3575ab51f8a773cde8ed1,132,28.3,30.8,0
62f3575ab51f8a773cde8ed1,193,69.7,50.2,0
62f3575ab51f8a773cde8ed1,83,12.8,8.0,0
62f3575ab51f8a773cde8ed1,143,49.9,33.3,0
62f3575ab51f8a773cde8ed1,164,64.0,55.5,0
62f3575ab51f8a773cde8ed1,97,15.0,10.9,0
62f3575ab51f8a773cde8ed1,84,16.0,10.6,0
62f3575ab51f8a773cde8ed1,116,43.9,45.4,0
62f3575ab51f8a773cde8ed1,137,45.3,43.2,0
62f3575ab51f8a773cde8ed1,54,14.9,15.8,0
62f3575ab51f8a773cde8ed1,179,55.9,54.3,0
62f3575ab51f8a773cde8ed1,117,42.7,36.9,0
62f3575ab51f8a773cde8ed1,156,56.2,61.3,0
62f3575ab51f8a773cde8ed1,141,42.9,25.7,0
62f3575ab51f8a773cde8ed1,53,16.5,24.0,0
62f3575ab51f8a773cde8ed1,96,11.1,4.6,0
62f3575ab51f8a773cde8ed1,108,42.6,30.7,0
62f3575ab51f8a773cde8ed1,134,28.2,26.2,0
62f3575ab51f8a773cde8ed1,61,1.3,2.1,0
62f3575ab51f8a773cde8ed1,156,72.5,73.6,0
62f3575ab51f8a773cde8ed1,188,71.3,54.8,0
62f3575ab51f8a773cde8ed1,102,42.3,43.1,0
62f3575ab51f8a773cde8ed1,161,62.0,66.4,0
62f3575ab51f8a773cde8ed1,65,11.9,22.1,0
62f3575ab51f8a773cde8ed1,126,30.6,36.0,0
62f3575ab51f8a773cde8ed1,86,3.1,20.7,0
62f3575ab51f8a773cde8ed1,192,66.5,72.7,0
62f3575ab51f8a773cde8ed1,85,18.6,3.9,0
62f3575ab51f8a773cde8ed1,160,70.7,74.8,0
62f3575ab51f8a773cde8ed1,143,47.1,26.2,0
62f3575ab51f8a773cde8ed1,110,45.2,31.5,0
62f3575ab51f8a773cde8ed1,121,49.1,35.7,0
62f3575ab51f8a773cde8ed1,92,5.6,23.1,0
62f3575ab51f8a773cde8ed1,146,31.4,30.6,0
62f3575ab51f8a773cde8ed1,168,51.1,52.3,0
62f3575ab51f8a773cde8ed1,80,19.6,10.4,0
62f3575ab51f8a773cde8ed1,78,6.5,9.9,0
62f3575ab51f8a773cde8ed1,146,35.0,48.1,0
62f3575ab51f8a773cde8ed1,192,63.5,54.5,0
62f3575ab51f8a773cde8ed1,186,61.4,51.5,0
62f3575ab51f8a773cde8ed1,179,64.9,72.7,0
62f3575ab51f8a773cde8ed1,104,40.1,38.3,0
62f3575ab51f8a773cde8ed1,110,40.0,28.8,0
62f3575ab51f8a773cde8ed1,132,27.2,47.9,0
62f3575ab51f8a773cde8ed1,51,1.0,11.0,0
62f3575ab51f8a773cde8ed1,136,37.1,33.9,0
62f3575ab51f8a773cde8ed1,164,63.0,57.0,0
62f3575ab51f8a773cde8ed1,64,3.2,9.8,0
62f3575ab51f8a773cde8ed1,65,9.5,17.7,0
62f3575ab51f8a773cde8ed1,70,13.0,8.7,0
62f3575ab51f8a773cde8ed1,125,33.8,32.6,0
62f3575ab51f8a773cde8ed1,53,17.3,14.8,0
62f3575ab51f8a773cde8ed1,62,16.6,10.5,0
62f3575ab51f8a773cde8ed1,54,20.0,8.6,0
62f3575ab51f8a773cde8ed1,108,47.1,46.8,0
62f3575ab51f8a773cde8ed1,82,19.5,16.0,0
62f3575ab51f8a773cde8ed1,97,15.6,10.7,0
62f3575ab51f8a773cde8ed1,104,50.0,39.0,0
62f3575ab51f8a773cde8ed1,108,28.6,46.1,0
62f3575ab51f8a773cde8ed1,178,73.7,71.9,0
62f3575ab51f8a773cde8ed1,75,6.7,15.9,0
62f3575ab51f8a773cde8ed1,63,24.1,5.8,0
62f3575ab51f8a773cde8ed1,143,31.9,39.7,0
62f3575ab51f8a773cde8ed1,100,12.4,1.5,0
62f3575ab51f8a773cde8ed1,172,66.7,60.6,0
62f3575ab51f8a773cde8ed1,172,62.3,63.7,0
62f3575ab51f8a773cde8ed1,195,52.0,62.9,0
62f3575ab51f8a773cde8ed1,80,10.0,6.8,0
62f3575ab51f8a773cde8ed1,163,60.1,60.3,0
62f3575ab51f8a773cde8ed1,93,13.7,9.4,0
62f3575ab51f8a773cde8ed1,157,66.2,69.5,0
62f3575ab51f8a773cde8ed1,86,6.8,9.9,0
62f3575ab51f8a773cde8ed1,126,49.8,27.6,0
62f3575ab51f8a773cde8ed1,154,71.7,51.2,0
62f3575ab51f8a773cde8ed1,192,73.8,54.9,0
62f3575ab51f8a773cde8ed1,101,37.1,34.5,0
62f3575ab51f8a773cde8ed1,167,58.4,66.3,0
62f3575ab51f8a773cde8ed1,192,62.6,54.4,0
62f3575ab51f8a773cde8ed1,90,21.5,9.3,0
62f3575ab51f8a773cde8ed1,183,63.6,60.0,0
62f3575ab51f8a773cde8ed1,76,14.9,18.9,0
62f3575ab51f8a773cde8ed1,58,15.9,21.3,0
62f3575ab51f8a773cde8ed1,190,69.5,70.2,0
62f3575ab51f8a773cde8ed1,190,56.0,64.0,0
62f3575ab51f8a773cde8ed1,155,69.8,71.6,0
62f3575ab51f8a773cde8ed1,191,73.0,67.8,0
62f3575ab51f8a773cde8ed1,115,34.9,43.2,0
62f3575ab51f8a773cde8ed1,73,13.1,21.7,0
62f3575ab51f8a773cde8ed1,140,43.0,44.9,0
62f3575ab51f8a773cde8ed1,174,71.7,57.7,0
62f3575ab51f8a773cde8ed1,56,1.3,12.7,0
62f3575ab51f8a773cde8ed1,154,53.3,52.1,0
62f3575ab51f8a773cde8ed1,122,28.9,42.8,0
62f3575ab51f8a773cde8ed1,129,43.8,25.5,0
62f3575ab51f8a773cde8ed1,176,60.1,54.0,0
62f3575ab51f8a773cde8ed1,154,63.7,60.7,0
62f3575ab51f8a773cde8ed1,162,65.9,51.9,0
